                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.3451,                 1.0582,                 1.2822,                0.56851,                0.47608,                0.48293,                0.28542,                 1.6897,                 1.3463,                 1.3614,               0.005446,               0.005446,               0.005446
                     48,                 1.3457,                 1.0722,                 1.2796,                0.57421,                0.48199,                0.48516,                0.28807,                 1.6569,                 1.3619,                 1.3452,               0.005347,               0.005347,               0.005347
                     49,                 1.3374,                 1.0552,                 1.2751,                0.54586,                0.48693,                 0.4757,                0.28454,                 1.6718,                 1.3365,                 1.3574,               0.005248,               0.005248,               0.005248
                     50,                 1.3425,                 1.0578,                 1.2704,                0.54669,                0.48499,                0.48146,                0.28623,                 1.6707,                 1.2992,                 1.3574,               0.005149,               0.005149,               0.005149
                     51,                 1.3321,                  1.049,                 1.2653,                0.55097,                0.47688,                0.47927,                0.28988,                 1.6663,                 1.3195,                  1.351,                0.00505,                0.00505,                0.00505
                     52,                 1.3312,                 1.0454,                 1.2673,                0.55872,                 0.4871,                0.48203,                0.29051,                 1.6669,                 1.3647,                 1.3376,               0.004951,               0.004951,               0.004951
                     53,                 1.3247,                 1.0471,                 1.2734,                0.56863,                0.46613,                 0.4799,                0.28855,                 1.6703,                 1.3239,                 1.3508,               0.004852,               0.004852,               0.004852
                     54,                 1.3293,                 1.0337,                 1.2623,                0.56614,                0.47903,                0.48256,                0.28797,                 1.6606,                 1.3112,                 1.3416,               0.004753,               0.004753,               0.004753
                     55,                 1.3199,                 1.0306,                 1.2562,                0.56596,                0.47097,                0.47927,                0.28893,                 1.6676,                 1.3066,                  1.342,               0.004654,               0.004654,               0.004654
                     56,                 1.3114,                 1.0196,                 1.2551,                0.56306,                0.47446,                0.47977,                0.28952,                 1.6671,                 1.2901,                 1.3417,               0.004555,               0.004555,               0.004555
                     57,                 1.3018,                0.99578,                 1.2481,                0.56328,                0.48737,                 0.4841,                0.29164,                 1.6769,                 1.2987,                 1.3436,               0.004456,               0.004456,               0.004456
                     58,                  1.313,                  1.023,                 1.2545,                0.57391,                0.47527,                0.48553,                0.29163,                 1.6666,                 1.2889,                 1.3308,               0.004357,               0.004357,               0.004357
                     59,                 1.3225,                 1.0277,                 1.2591,                0.57335,                 0.4793,                0.48626,                0.29315,                   1.66,                 1.2817,                 1.3245,               0.004258,               0.004258,               0.004258
                     60,                 1.2924,                0.99156,                 1.2447,                0.57309,                0.48391,                0.48589,                 0.2928,                 1.6777,                 1.2891,                 1.3459,               0.004159,               0.004159,               0.004159
                     61,                 1.2792,                0.98968,                 1.2373,                0.57656,                0.49113,                0.48887,                0.29317,                 1.6622,                 1.2943,                 1.3438,                0.00406,                0.00406,                0.00406
                     62,                 1.3086,                 1.0034,                 1.2429,                0.56754,                0.49113,                 0.4915,                0.29674,                 1.6634,                 1.2831,                 1.3507,               0.003961,               0.003961,               0.003961
                     63,                 1.2987,                0.99795,                 1.2502,                0.55693,                0.49785,                0.49077,                0.29776,                 1.6582,                 1.2796,                  1.344,               0.003862,               0.003862,               0.003862
                     64,                 1.2801,                0.98176,                 1.2382,                0.56538,                0.49409,                0.49445,                0.30009,                 1.6538,                 1.2617,                 1.3349,               0.003763,               0.003763,               0.003763
                     65,                 1.2849,                0.97645,                 1.2346,                0.57289,                0.48952,                0.49384,                0.30044,                 1.6484,                  1.276,                 1.3348,               0.003664,               0.003664,               0.003664
                     66,                 1.2688,                0.96544,                 1.2329,                0.56957,                0.49274,                0.49408,                0.29927,                 1.6465,                 1.2627,                 1.3337,               0.003565,               0.003565,               0.003565
                     67,                 1.2814,                  0.985,                 1.2352,                0.57224,                0.49194,                0.49156,                0.29869,                 1.6439,                 1.2621,                 1.3345,               0.003466,               0.003466,               0.003466
                     68,                 1.2758,                0.96512,                 1.2226,                0.56372,                0.49597,                0.49051,                 0.2976,                 1.6526,                 1.2734,                 1.3404,               0.003367,               0.003367,               0.003367
                     69,                  1.283,                0.97413,                 1.2305,                0.56068,                0.49113,                0.49076,                0.29662,                 1.6548,                 1.2742,                 1.3438,               0.003268,               0.003268,               0.003268
                     70,                 1.2643,                0.96007,                 1.2263,                0.55387,                0.49731,                0.48869,                0.29532,                  1.652,                 1.2773,                 1.3405,               0.003169,               0.003169,               0.003169
                     71,                 1.2678,                0.96009,                 1.2195,                0.55868,                0.50081,                0.49114,                0.29618,                 1.6587,                 1.2735,                 1.3395,                0.00307,                0.00307,                0.00307
                     72,                 1.2589,                0.95986,                  1.223,                0.55707,                0.50511,                0.49248,                0.29805,                 1.6578,                  1.263,                 1.3399,               0.002971,               0.002971,               0.002971
                     73,                 1.2474,                0.93567,                 1.2169,                0.55858,                0.51129,                0.49339,                0.29848,                 1.6577,                 1.2562,                 1.3382,               0.002872,               0.002872,               0.002872
                     74,                 1.2513,                0.93734,                 1.2115,                0.55623,                0.51183,                0.49514,                0.29918,                 1.6582,                 1.2521,                 1.3385,               0.002773,               0.002773,               0.002773
                     75,                 1.2355,                0.93457,                 1.2174,                0.55905,                0.50914,                0.49549,                0.29926,                 1.6584,                 1.2451,                 1.3351,               0.002674,               0.002674,               0.002674
                     76,                 1.2418,                0.93418,                  1.208,                0.56268,                0.50635,                0.49618,                0.30068,                 1.6579,                 1.2398,                 1.3339,               0.002575,               0.002575,               0.002575
                     77,                 1.2346,                0.93277,                 1.2064,                0.56158,                0.50645,                0.49784,                0.30062,                 1.6539,                 1.2462,                 1.3338,               0.002476,               0.002476,               0.002476
                     78,                 1.2474,                0.93882,                 1.2109,                 0.5544,                0.50457,                0.49674,                0.30052,                 1.6487,                 1.2483,                  1.331,               0.002377,               0.002377,               0.002377
                     79,                 1.2312,                0.92053,                  1.196,                 0.5575,                0.50968,                0.49911,                0.30208,                 1.6461,                 1.2429,                 1.3307,               0.002278,               0.002278,               0.002278
                     80,                 1.2275,                0.93047,                 1.2014,                0.55705,                0.50912,                0.49781,                 0.3023,                 1.6439,                 1.2459,                 1.3287,               0.002179,               0.002179,               0.002179
                     81,                 1.2254,                0.91194,                 1.1955,                0.55869,                0.50968,                0.49899,                0.30317,                 1.6453,                 1.2414,                 1.3296,                0.00208,                0.00208,                0.00208
                     82,                 1.2149,                0.90675,                 1.1945,                0.55935,                0.51075,                0.49944,                0.30408,                 1.6442,                 1.2412,                 1.3302,               0.001981,               0.001981,               0.001981
                     83,                 1.2062,                0.89635,                 1.1925,                0.55966,                0.51237,                0.49987,                0.30369,                 1.6442,                 1.2393,                 1.3297,               0.001882,               0.001882,               0.001882
                     84,                 1.2129,                0.90071,                 1.1944,                0.56376,                0.50968,                 0.5001,                0.30311,                 1.6431,                 1.2396,                 1.3294,               0.001783,               0.001783,               0.001783
                     85,                 1.2024,                0.88891,                 1.1918,                 0.5659,                0.50914,                0.49969,                0.30422,                 1.6421,                 1.2399,                 1.3282,               0.001684,               0.001684,               0.001684
                     86,                 1.1984,                0.88527,                 1.1786,                0.56573,                0.50914,                0.50024,                0.30426,                  1.642,                 1.2394,                 1.3285,               0.001585,               0.001585,               0.001585
                     87,                 1.2092,                0.89977,                 1.1885,                0.56499,                0.50887,                0.49981,                0.30458,                 1.6431,                 1.2417,                 1.3296,               0.001486,               0.001486,               0.001486
                     88,                 1.1894,                0.87997,                 1.1816,                0.56589,                0.50806,                0.49943,                0.30415,                 1.6451,                 1.2421,                 1.3309,               0.001387,               0.001387,               0.001387
                     89,                 1.1846,                0.87023,                 1.1782,                0.56475,                 0.5078,                0.49973,                0.30391,                 1.6456,                 1.2456,                 1.3324,               0.001288,               0.001288,               0.001288
                     90,                 1.1815,                0.87572,                 1.1792,                0.56742,                0.50806,                0.50016,                0.30387,                 1.6455,                 1.2451,                 1.3332,               0.001189,               0.001189,               0.001189
